Serial,Date,Subject,Title,Description,Summary,Question,Answer
66,18/04/2025,CIRCULAR,ATL,"Dear learners Inviting applications from interested participants for ROBORUSH 1.0 -a high-speed, high-energy Robot Race & Project Showcase 1) Robot Race – hit the track, and race to victory! Speed, control, and precision are all that matter! 2)Project Showcase – Flex your tech creations and leave everyone speechless! Date: 26 April 2025 Big prizes, ultimate bragging rights, and tech glory await! Interested learners to mail their idea/ interest in participating at ATLLVISG@lotusvalleygurgaon.com latest by 20.04.25 Regards","Circular (ATL): Invitation for ROBORUSH 1.0 (Robot Race & Project Showcase on April 26th, 2025); interested students to email their ideas by April 20th.",What ATL event was announced in the circular on 18/04/2025 and how can students participate?,An invitation was extended for ROBORUSH 1.0 - a high-speed
67,17/04/2025,PHYSICS,PHYSICS: MOTION,"Dear learners, CW- v-t graph was discussed & numericals on the same were done in class. HW- AB Questions related to the topic Thank you",Physics: Velocity-time (v-t) graph discussed with numericals; homework is Activity Book (AB) questions on the topic.,What topic was discussed in Physics class on 17/04/2025 and what is the homework?,V-t graph was discussed & numericals on the same were done in class. Homework is AB Questions related to the topic.
68,17/04/2025,MATHEMATICS,CH-1 NUMBER SYSTEM,"AB McQ, Case study and subjective till Q4 were discussed. Do Q-1 &2 (subjective) in AB notebooks.","Mathematics: Activity Book (AB) MCQs, case studies, and subjective questions up to Q4 discussed; homework is to do subjective Q-1 & 2 in AB notebooks.",What was discussed in Mathematics Number System chapter on 17/04/2025 and what is the homework?,AB McQ
69,17/04/2025,SCIENCE,NAEST CIRCULAR,"Dear Parents, PFA documents for reference. Thanks",Science: NAEST circular documents provided for parents' reference.,What documents were provided for Science on 17/04/2025?,NAEST circular documents were provided for reference.
70,17/04/2025,BIOLOGY,BIOLOGY,"CW- The written revision for PA-1 was done today in class. Doubts related to chapter fundamental unit of life were also cleared. Submit your biology notebook and AB on Monday for checking. Biology: Written revision for PA-1 done in class doubts cleared on """"Fundamental Unit of Life""""; submit biology notebook and Activity Book (AB) on Monday for checking.""",What was done in Biology class on 17/04/2025 and what should students submit on Monday?,The written revision for PA-1 was done today in class. Doubts related to chapter fundamental unit of life were also cleared. Students should submit their biology notebook and AB on Monday for checking.,
71,17/04/2025,ENGLISH,English,"The Road not Taken - completed Hw - SAQ -1,2; LAQ - 2 Please carry Moments for Monday","English: ""The Road Not Taken"" completed; homework is SAQ-1,2 and LAQ-2; bring ""Moments"" textbook for Monday.","What English chapter was completed on 17/04/2025, what is the homework, and what should students bring on Monday?",The Road not Taken was completed. Homework is SAQ -1
72,16/04/2025,CIRCULAR,Heritage Day Activity,"Dear Students, As discussed in class, please be prepared for the Heritage Day activity. Kindly share either a video or a photograph along with your blog post by mailing it to: priyanka.zulfikar@lotusvalleygurgaon.com. Looking forward to your enthusiastic participation!",Circular: Students to prepare for Heritage Day activity and share a video or photograph with their blog post via email to priyanka.zulfikar@lotusvalleygurgaon.com.,What is required from students for the Heritage Day Activity announced in the circular on 16/04/2025?,Students should be prepared for the Heritage Day activity and kindly share either a video or a photograph along with their blog post by mailing it to priyanka.zulfikar@lotusvalleygurgaon.com.
73,16/04/2025,MATHEMATICS,CH-1 NUMBER SYSTEM,"MCQ questions of AB were discussed in class. Do case study-1 & 2 , Subjective-1 &2 in AB notebooks. List your doubts .",Mathematics: Activity Book (AB) MCQs discussed; homework is to do case studies 1 & 2 and subjective questions 1 & 2 in AB notebooks; students to list their doubts.,What was discussed in Mathematics Number System AB on 16/04/2025 and what is the homework?,MCQ questions of AB were discussed in class. Students should do case study-1 & 2
74,15/04/2025,BIOLOGY,Biology,"Dear Learners Please submit your biology notebook tomorrow for checking with all the diagrams, in-text questions, and back exercises of the chapter—Fundamental Unit of Life—as mentioned in the class. Kindly carry biology AB tomorrow. HW- Revise chapter - Fundamental unit of life till cell wall for written revision on Thursday, 17 Th April .","Biology: Submit biology notebook tomorrow for checking (diagrams, in-text questions, back exercises of ""Fundamental Unit of Life""); bring biology Activity Book (AB) tomorrow; homework is to revise ""Fundamental Unit of Life"" up to the cell wall for a written revision on Thursday, April 17th.",What should students submit/bring for Biology class tomorrow (April 16th) and what is the homework for Thursday?,Students should submit their biology notebook tomorrow for checking with all the diagrams
75,15/04/2025,MATHEMATICS,NUMBER SYSTEM,Ncert discussed for Ex -1.4 and 1.5. Complete if not done . Bring AB and AB notebooks tomorrow.,Mathematics: NCERT exercises 1.4 and 1.5 discussed; students to complete if pending and bring Activity Book (AB) and AB notebooks tomorrow.,What NCERT exercises were discussed in Mathematics on 15/04/2025 and what should students bring tomorrow?,Ncert discussed for Ex -1.4 and 1.5. Students should complete it if not done and bring AB and AB notebooks tomorrow.
